Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
colorgin-arte-urbana-400ml,,,,,,,,ROSA PETALA 999,colorgin-arte-urbana-400ml-999,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ROXO 903,colorgin-arte-urbana-400ml-903,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ROXO BETERRABA 904,colorgin-arte-urbana-400ml-904,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,TANGERINA 967,colorgin-arte-urbana-400ml-967,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,TUTTI FRUTTI 974,colorgin-arte-urbana-400ml-974,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VANILA 966,colorgin-arte-urbana-400ml-966,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE ABACATE 908,colorgin-arte-urbana-400ml-908,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE AMAZONAS 987,colorgin-arte-urbana-400ml-987,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE BANDEIRA 906,colorgin-arte-urbana-400ml-906,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE ERVILHA 963,colorgin-arte-urbana-400ml-963,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE ESMERALDA 907,colorgin-arte-urbana-400ml-907,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE MARESIA 960,colorgin-arte-urbana-400ml-960,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE MATA 911,colorgin-arte-urbana-400ml-911,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE MENTA 909,colorgin-arte-urbana-400ml-909,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE NAUTICO 962,colorgin-arte-urbana-400ml-962,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE NEON 905,colorgin-arte-urbana-400ml-905,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE PISCINA 961,colorgin-arte-urbana-400ml-961,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERDE PISTACHE 988,colorgin-arte-urbana-400ml-988,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
